tree_ID,year,treatment,assessment,block,family,class,compound,mass_type,mass
1002,2019,FFE,pre_rust,1,ENDO-159,diterpene,dehydroabietic,dw,0.421
1002,2019,FFE,pre_rust,1,ENDO-159,diterpene,levopiramic,dw,8.626
1002,2019,FFE,pre_rust,1,ENDO-159,diterpene,sandaracopiramic,dw,4.115
1002,2019,FFE,pre_rust,1,ENDO-159,diterpene,neoabietic,dw,0.324
1002,2019,FFE,pre_rust,1,ENDO-159,diterpene,palustric,dw,2.005
1002,2019,FFE,pre_rust,1,ENDO-159,diterpene,abietic,dw,1.233
1003,2019,FFE,pre_rust,1,ENDO-159,diterpene,dehydroabietic,dw,0.244
1003,2019,FFE,pre_rust,1,ENDO-159,diterpene,levopiramic,dw,10.804
1003,2019,FFE,pre_rust,1,ENDO-159,diterpene,sandaracopiramic,dw,2.538
1003,2019,FFE,pre_rust,1,ENDO-159,diterpene,neoabietic,dw,0.191
1003,2019,FFE,pre_rust,1,ENDO-159,diterpene,palustric,dw,1.105
1003,2019,FFE,pre_rust,1,ENDO-159,diterpene,abietic,dw,1.17
1007,2019,FFE,pre_rust,1,ENDO-156,diterpene,dehydroabietic,dw,0.254
1007,2019,FFE,pre_rust,1,ENDO-156,diterpene,levopiramic,dw,3.491
1007,2019,FFE,pre_rust,1,ENDO-156,diterpene,sandaracopiramic,dw,2.159
1007,2019,FFE,pre_rust,1,ENDO-156,diterpene,neoabietic,dw,0.469
1007,2019,FFE,pre_rust,1,ENDO-156,diterpene,palustric,dw,3.056
1007,2019,FFE,pre_rust,1,ENDO-156,diterpene,abietic,dw,0.741
1009,2019,FFE,pre_rust,1,ENDO-156,diterpene,dehydroabietic,dw,0.386
1009,2019,FFE,pre_rust,1,ENDO-156,diterpene,levopiramic,dw,40.823
1009,2019,FFE,pre_rust,1,ENDO-156,diterpene,sandaracopiramic,dw,2.454
1009,2019,FFE,pre_rust,1,ENDO-156,diterpene,neoabietic,dw,0.332
1009,2019,FFE,pre_rust,1,ENDO-156,diterpene,palustric,dw,2.223
1009,2019,FFE,pre_rust,1,ENDO-156,diterpene,abietic,dw,0.85
1012,2019,FFE,pre_rust,1,ENDO-158,diterpene,dehydroabietic,dw,0.303
1012,2019,FFE,pre_rust,1,ENDO-158,diterpene,levopiramic,dw,12.674
1012,2019,FFE,pre_rust,1,ENDO-158,diterpene,sandaracopiramic,dw,2.633
1012,2019,FFE,pre_rust,1,ENDO-158,diterpene,neoabietic,dw,0.407
1012,2019,FFE,pre_rust,1,ENDO-158,diterpene,palustric,dw,2.568
1012,2019,FFE,pre_rust,1,ENDO-158,diterpene,abietic,dw,1.735
1016,2019,FFE,pre_rust,1,ENDO-158,diterpene,dehydroabietic,dw,0.303
1016,2019,FFE,pre_rust,1,ENDO-158,diterpene,levopiramic,dw,5.677
1016,2019,FFE,pre_rust,1,ENDO-158,diterpene,sandaracopiramic,dw,2.58
1016,2019,FFE,pre_rust,1,ENDO-158,diterpene,neoabietic,dw,0.267
1016,2019,FFE,pre_rust,1,ENDO-158,diterpene,palustric,dw,1.627
1016,2019,FFE,pre_rust,1,ENDO-158,diterpene,abietic,dw,0.997
1019,2019,FFE,pre_rust,1,ENDO-157,diterpene,dehydroabietic,dw,0.304
1019,2019,FFE,pre_rust,1,ENDO-157,diterpene,levopiramic,dw,9.762
1019,2019,FFE,pre_rust,1,ENDO-157,diterpene,sandaracopiramic,dw,3.092
1019,2019,FFE,pre_rust,1,ENDO-157,diterpene,neoabietic,dw,0.34
1019,2019,FFE,pre_rust,1,ENDO-157,diterpene,palustric,dw,2.308
1019,2019,FFE,pre_rust,1,ENDO-157,diterpene,abietic,dw,1.49
1021,2019,FFE,pre_rust,1,ENDO-157,diterpene,dehydroabietic,dw,0.455
1021,2019,FFE,pre_rust,1,ENDO-157,diterpene,levopiramic,dw,52.305
1021,2019,FFE,pre_rust,1,ENDO-157,diterpene,sandaracopiramic,dw,3.705
1021,2019,FFE,pre_rust,1,ENDO-157,diterpene,neoabietic,dw,0.318
1021,2019,FFE,pre_rust,1,ENDO-157,diterpene,palustric,dw,1.999
1021,2019,FFE,pre_rust,1,ENDO-157,diterpene,abietic,dw,0.81
1023,2019,FFE,pre_rust,1,ENDO-155,diterpene,dehydroabietic,dw,0.32
1023,2019,FFE,pre_rust,1,ENDO-155,diterpene,levopiramic,dw,2.125
1023,2019,FFE,pre_rust,1,ENDO-155,diterpene,sandaracopiramic,dw,2.533
1023,2019,FFE,pre_rust,1,ENDO-155,diterpene,neoabietic,dw,0.428
