tree_ID,ht6,ht5,ht1
1001,25,20,9.5
1002,43,29,15.3
1003,33.5,30,13.4
1004,31,23.5,10.2
1005,44,32,15
1006,32.5,21,16.3
1007,38.5,29,15.1
1008,40.5,24.5,15.8
1009,62,33,16
1010,39.5,22.5,16.5
1011,33,23,11.4
1012,36.5,21,13.3
1013,45.5,23.5,11
1014,56,33,15
1015,17.5,18,10.5
1016,40.5,27,12.1
1017,14.5,13.5,7.2
1018,16,17.5,12.9
1019,31,15,10
1020,26,20.5,12.2
1021,35.5,21,11.6
1022,26,26,10.9
1023,48.5,27,11.5
1024,38.5,19.5,9.2
1025,44.5,31,12.8
1026,40.5,23,12.8
1027,48,32,15.6
1028,47,27,12
1029,41,30,15.1
1030,26.5,24.5,16
1031,30.5,30,20
1032,NA,12,13
1033,30,26,14
1034,23.5,22,11.9
1035,NA,10,7
1036,24.5,23,15.7
1037,24,23.5,12.5
1038,37,24,10.5
1039,35,27,14.5
1040,55,32,20
1041,35.5,24.5,13.6
1042,45,33,15.3
1043,35,23.5,12
1044,51,32,15.6
1045,52,29,16.2
1046,30,20,13.6
1047,36.5,21,12.2
1048,44,24,13.6
1049,26.5,16.5,10.4
1050,49,28.5,16
1051,41.5,27,16.3
1052,24,14,12.3
1053,36.5,21,16.2
1054,31.5,26,14.9
1055,44,29,16.5
1056,27.5,20,10.5
1057,30,23,14.1
1058,36,26.5,14.4
1059,47,21,9
1060,51.5,21.5,6.9
1061,50,30,16.2
1062,33,21,17
1063,62,36,16.8
1064,56.5,28.6,18
1065,47,29.4,13.7
1066,37.5,22.6,12
1067,37,21,13.5
1068,28.5,20.5,12.3
1069,32,21.5,13.4
1070,42.5,20,12.7
1071,41,28.5,19
1072,22.5,20,15.4
1074,45,31,14.3
1075,47.5,38.5,14
1076,34.5,17.5,14.2
1077,28,22.5,13
1078,50.5,22,16
1079,18.5,17.6,11.6
1080,24.5,15,12
1081,24.5,24,11.4
1082,45.5,24.2,13.1
1083,47.5,27.2,17.8
1084,37,22.6,16.2
1085,37.5,26,14.9
1086,64,36.6,17.6
1087,72.5,40.2,17.8
1088,28,24,11.6
1089,38,26.9,14
1090,21,15.6,10.2
1091,27.5,24.1,17.6
1092,52.5,35.5,15.6
1093,28,27,11.6
1094,27.5,27,19.6
1095,36,26,13.1
1096,34,24.6,14.6
1097,62,35.5,14.2
1098,51,28,14.4
1099,43.5,22.5,10
1100,57,31,11.6
1101,51.5,36,13.6
1102,32.5,18.5,13
1103,66.5,39.5,17
1104,52.5,34.5,16
1105,32,24,13.2
1106,43,24.5,12
1107,47.5,33.3,13.3
1108,50,30.7,17.2
1109,66,43.5,20.9
1110,43,28,13
1111,39.5,29,13.8
1112,40,26.7,14
1113,47.5,23.7,17
1114,52.5,37.3,16.8
1115,50,39,14.5
1116,31,28.7,15.5
1117,34,28.3,13.6
1118,41,34,14.8
1119,24.5,20.5,12
1120,32.5,26.5,11
1121,12.5,11.5,9.6
1122,15.5,15.5,8
1123,40.5,19,12.9
1124,37,22,19.3
1125,66,28.5,20
1126,38.5,26.5,10.5
1127,40.5,20,14.4
1128,54.5,30.5,16
1129,51,25,16.3
1130,18,12,9.5
1131,46,36,17.5
1132,39.5,21,15
1133,29.5,17,9.5
1134,34,17,11.2
1135,37,25.5,12.5
1136,43,36.5,17.2
1137,46.5,30.5,18.5
1138,46.5,23.5,12.5
1139,31.5,24,10.7
1140,40.5,33,13.8
1141,41,23.5,16.4
1142,23.5,22.5,12
1143,26,20,11.3
1144,NA,NA,14
1145,24,23,12
1146,17,17,12
1147,26,19,8
1148,21,19.5,10.8
1149,10,10,6
1150,36,27,13
1151,48,26,12
1152,55,30,13
1153,NA,14.5,9
1154,47.5,29,12
1155,27,27,17
1156,57.5,34,12
1157,39,27.5,13.2
1158,27.5,26,16.8
1159,27,26,14.4
1161,29,28.5,9.6
1162,53.5,28,11.2
1163,50,25,10.8
1164,43,27.5,14
1165,53.5,30,12.4
1166,59.5,30,10
1167,55.5,32,18.5
1168,65.5,31.5,13.6
1169,49.5,27,12.8
1170,48,29.5,11
1171,25,25,10
1172,34.5,24,12.5
1173,35,27.5,11
1174,29,28,17
