tree_ID,family,block,endo_trt,rust_trt
1001,ENDO-159,1,FFE,Yes
1002,ENDO-159,1,FFE,Yes
1003,ENDO-159,1,FFE,Yes
1004,ENDO-159,1,FFE,Yes
1005,ENDO-159,1,FFE,Yes
1006,ENDO-156,1,FFE,Yes
1007,ENDO-156,1,FFE,Yes
1008,ENDO-156,1,FFE,Yes
1009,ENDO-156,1,FFE,Yes
1010,ENDO-156,1,FFE,Yes
1011,ENDO-158,1,FFE,Yes
1012,ENDO-158,1,FFE,Yes
1013,ENDO-158,1,FFE,Yes
1014,ENDO-158,1,FFE,Yes
1015,ENDO-158,1,FFE,Yes
1016,ENDO-158,1,FFE,Yes
1017,ENDO-157,1,FFE,Yes
1018,ENDO-157,1,FFE,Yes
1019,ENDO-157,1,FFE,Yes
1020,ENDO-157,1,FFE,Yes
1021,ENDO-157,1,FFE,Yes
1022,ENDO-155,1,FFE,Yes
1023,ENDO-155,1,FFE,Yes
1024,ENDO-155,1,FFE,Yes
1025,ENDO-155,1,FFE,Yes
1026,ENDO-155,1,FFE,Yes
1027,ENDO-155,1,FFE,Yes
1028,ENDO-155,1,FFE,Yes
1029,ENDO-160,1,FFE,Yes
1030,ENDO-160,1,FFE,Yes
1031,ENDO-160,1,FFE,Yes
1032,ENDO-160,1,FFE,Yes
1033,ENDO-160,2,FFE,Yes
1034,ENDO-160,2,FFE,Yes
1035,ENDO-160,2,FFE,Yes
1036,ENDO-160,2,FFE,Yes
1037,ENDO-160,2,FFE,Yes
1038,ENDO-158,2,FFE,Yes
1039,ENDO-158,2,FFE,Yes
1040,ENDO-158,2,FFE,Yes
1041,ENDO-158,2,FFE,Yes
1042,ENDO-158,2,FFE,Yes
1043,ENDO-158,2,FFE,Yes
1044,ENDO-155,2,FFE,Yes
1045,ENDO-155,2,FFE,Yes
1046,ENDO-155,2,FFE,Yes
1047,ENDO-155,2,FFE,Yes
1048,ENDO-155,2,FFE,Yes
1049,ENDO-155,2,FFE,Yes
1050,ENDO-155,2,FFE,Yes
1051,ENDO-157,2,FFE,Yes
1052,ENDO-157,2,FFE,Yes
1053,ENDO-157,2,FFE,Yes
1054,ENDO-157,2,FFE,Yes
1055,ENDO-159,2,FFE,Yes
1056,ENDO-159,2,FFE,Yes
1057,ENDO-159,2,FFE,Yes
1058,ENDO-159,2,FFE,Yes
1059,ENDO-156,2,FFE,Yes
1060,ENDO-156,2,FFE,Yes
1061,ENDO-156,2,FFE,Yes
1062,ENDO-156,2,FFE,Yes
1063,ENDO-156,2,FFE,Yes
1064,ENDO-156,2,FFE,Yes
1065,ENDO-158,3,FFE,Yes
1066,ENDO-158,3,FFE,Yes
1067,ENDO-158,3,FFE,Yes
1068,ENDO-158,3,FFE,Yes
1069,ENDO-158,3,FFE,Yes
1070,ENDO-158,3,FFE,Yes
1071,ENDO-158,3,FFE,Yes
1072,ENDO-156,3,FFE,Yes
1074,ENDO-156,3,FFE,Yes
1075,ENDO-156,3,FFE,Yes
1076,ENDO-156,3,FFE,Yes
1077,ENDO-157,3,FFE,Yes
1078,ENDO-157,3,FFE,Yes
1079,ENDO-157,3,FFE,Yes
1080,ENDO-157,3,FFE,Yes
1081,ENDO-155,3,FFE,Yes
1082,ENDO-155,3,FFE,Yes
1083,ENDO-155,3,FFE,Yes
1084,ENDO-155,3,FFE,Yes
1085,ENDO-155,3,FFE,Yes
1086,ENDO-155,3,FFE,Yes
