tree_ID,inoc_dens,ht6,dm6,sv6,alive6,vig6,ht5,dm5,sv5,vig5,bi5,nc5,pbr5,br5,ss5,dm4,sv4,ss4,dm3,sv3,vig3,bi3,nc3,pbr3,br3,ss3,ht1
1001,3400,25,4,6,Yes,1,20,4,3,1,2,2,0,0,2,4,3,2,0,0,1,0,0,0,0,0,9.5
1002,3400,43,4,7,Yes,6,29,4,5,1,3,5,0,0,5,4,5,6,0,0,1,0,0,0,0,0,15.3
1003,3400,33.5,4,7,Yes,2,30,4,5,1,3,6,0,0,6,4,3,4,0,0,1,0,0,0,0,0,13.4
1004,3400,NA,4,9,No,3,23.5,4,5,1,3,3,0,0,3,4,4,2,0,0,1,0,0,0,0,0,10.2
1005,3400,NA,4,9,No,3,32,4,6,1,10,10,0,0,10,4,6,10,4,3,1,5,5,0,0,5,15
1006,3400,NA,4,9,No,3,21,4,1,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,16.3
1007,3400,38.5,4,7,Yes,6,29,4,3,1,2,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,15.1
1008,3400,NA,4,9,No,3,24.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.8
1009,3400,62,0,0,Yes,1,33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16
1010,3400,39.5,4,1,Yes,1,22.5,4,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,16.5
1011,3400,33,4,3,Yes,1,23,4,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11.4
1012,3400,NA,4,9,No,3,21,4,2,1,4,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,13.3
1013,3400,45.5,4,3,Yes,1,23.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
1014,3400,56,4,7,Yes,6,33,4,3,1,5,7,0,0,7,0,0,0,0,0,1,0,0,0,0,0,15
1015,3400,NA,4,9,No,3,18,4,7,2,4,5,0,0,5,4,5,5,4,1,1,0,2,0,0,2,10.5
1016,3400,40.5,4,5,Yes,1,27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.1
1017,3400,NA,4,9,No,3,13.5,4,6,2,3,4,0,0,4,4,1,3,4,1,1,0,3,0,0,3,7.2
1018,3400,NA,4,9,No,3,17.5,4,6,1,3,3,0,0,3,4,6,3,4,5,1,2,2,0,0,2,12.9
1019,3400,31,4,3,Yes,1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
1020,3400,26,4,8,Yes,6,20.5,4,6,1,6,7,0,0,7,4,6,6,4,3,1,5,5,0,0,5,12.2
1021,3400,35.5,4,7,Yes,1,21,4,4,1,2,5,0,0,5,4,5,5,0,0,1,0,0,0,0,0,11.6
1022,3400,NA,4,9,No,3,26,4,4,1,4,3,1,0,4,4,5,4,0,0,1,0,0,0,0,0,10.9
1023,3400,48.5,0,0,Yes,1,27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.5
1024,3400,38.5,0,0,Yes,1,19.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.2
1025,3400,44.5,4,3,Yes,1,31,4,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,12.8
1026,3400,40.5,0,0,Yes,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.8
1027,3400,48,0,0,Yes,1,32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.6
1028,3400,47,4,2,Yes,1,27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
1029,3400,41,4,8,Yes,6,30,4,6,1,7,7,0,0,7,4,5,7,4,3,1,2,2,0,0,2,15.1
1030,3400,NA,4,9,No,3,24.5,4,8,1,15,17,0,0,17,4,8,17,4,6,1,9,14,0,0,14,16
1031,3400,NA,4,9,No,3,30,4,7,1,10,13,0,0,13,4,7,13,4,5,1,9,11,0,0,11,20
1032,3400,NA,4,9,No,NA,NA,4,9,3,NA,NA,NA,NA,NA,4,8,9,4,3,2,6,8,0,0,8,13
1033,3720,NA,4,9,No,3,26,4,8,1,8,8,0,0,8,4,8,8,4,3,1,5,5,0,0,5,14
1034,3720,NA,4,9,No,3,22,4,6,2,5,7,0,0,7,4,6,6,4,3,1,3,4,0,0,4,11.9
1035,3720,NA,4,9,No,NA,NA,4,9,3,NA,NA,NA,NA,NA,4,6,3,4,3,1,2,2,0,0,2,7
1036,3720,NA,4,9,No,3,23,4,7,1,7,10,0,0,10,4,7,7,4,2,1,2,4,0,0,4,15.7
1037,3720,NA,4,9,No,3,23.5,4,7,1,6,7,0,0,7,4,7,6,4,6,1,2,4,0,0,4,12.5
1038,3720,NA,4,9,No,3,24,4,5,1,3,3,0,0,3,4,5,3,4,2,1,1,2,0,0,2,10.5
1039,3720,NA,4,9,No,3,27,4,7,1,7,8,0,0,8,4,6,7,4,3,1,5,5,0,0,5,14.5
